iter	Passed	Remaining
0	0	616
1	1	606
2	1	562
3	2	560
4	2	551
5	3	556
6	3	548
7	4	546
8	4	550
9	5	550
10	6	549
11	6	545
12	7	553
13	7	558
14	8	560
15	9	557
16	9	552
17	10	550
18	10	545
19	11	542
20	11	541
21	12	541
22	12	537
23	13	535
24	13	534
25	14	533
26	14	529
27	15	527
28	15	527
29	16	526
30	16	525
31	17	524
32	17	523
33	18	522
34	18	519
35	19	518
36	19	517
37	20	516
38	20	517
39	21	515
40	22	514
41	22	514
42	23	513
43	23	513
44	24	513
45	24	512
46	25	510
47	25	509
48	26	508
49	26	507
50	27	507
51	27	507
52	28	506
53	28	506
54	29	505
55	29	504
56	30	503
57	31	503
58	31	503
59	32	503
60	32	502
61	33	501
62	33	500
63	34	499
64	34	498
65	35	499
66	35	500
67	36	496
68	36	496
69	37	495
70	37	494
71	38	494
72	38	494
73	39	492
74	39	492
75	40	492
76	40	491
77	41	490
78	42	490
79	42	489
80	42	487
81	43	487
82	44	486
83	44	486
84	44	483
85	45	482
86	45	479
87	46	479
88	46	478
89	47	477
90	47	476
91	48	476
92	48	475
93	49	475
94	49	474
95	50	474
96	50	474
97	51	472
98	51	472
99	52	471
100	52	471
101	53	468
102	53	468
103	54	468
104	54	467
105	55	467
106	55	467
107	56	466
108	56	465
109	57	464
110	57	464
111	58	463
112	58	462
113	59	462
114	59	461
115	60	460
116	60	459
117	61	459
118	61	458
119	62	457
120	63	457
121	63	457
122	63	455
123	64	455
124	64	454
125	65	453
126	65	453
127	66	451
128	66	451
129	67	450
130	67	449
131	68	449
132	68	449
133	69	448
134	69	448
135	70	447
136	70	446
137	71	445
138	71	445
139	72	445
140	73	444
141	73	444
142	73	443
143	74	443
144	75	443
145	75	444
146	76	444
147	77	444
148	77	444
149	78	443
150	78	443
151	79	443
152	80	443
153	80	442
154	81	441
155	81	441
156	82	441
157	82	440
158	83	439
159	83	439
160	84	440
161	84	439
162	85	438
163	86	438
164	86	438
165	87	438
166	87	437
167	88	438
168	89	438
169	89	438
170	90	438
171	90	437
172	91	437
173	92	437
174	92	436
175	93	436
176	93	436
177	94	437
178	95	437
179	96	437
180	96	436
181	96	435
182	97	435
183	98	435
184	98	435
185	99	434
186	99	434
187	100	434
188	101	433
189	101	433
190	102	433
191	102	432
192	103	432
193	103	431
194	104	431
195	105	430
196	105	430
197	106	429
198	106	429
199	107	429
200	107	428
201	108	428
202	108	427
203	109	427
204	110	426
205	110	426
206	111	425
207	111	425
208	112	424
209	112	424
210	113	424
211	114	423
212	114	423
213	115	422
214	115	422
215	116	422
216	116	421
217	117	421
218	118	420
219	118	420
220	119	420
221	119	419
222	120	419
223	120	418
224	121	417
225	121	417
226	122	416
227	122	416
228	123	415
229	124	415
230	124	414
231	125	414
232	125	413
233	126	413
234	126	413
235	127	412
236	127	411
237	128	411
238	129	411
239	129	410
240	130	410
241	130	409
242	131	409
243	132	409
244	132	408
245	133	408
246	133	408
247	134	407
248	135	407
